Membership No  Date Joined  Active  
    13695      2018-12-19   no    
    75113      2020-8-12    no    
    34550      2017-6-25    no    
    42311      2016-4-9     no    
    22875      2017-10-22   no    
    94668      2020-4-5     no    
    57164      2017-2-19    no    
    39060      2019-7-25    no    
    91379      2015-8-24    no    
    89134      2015-3-19    no    
    59179      2020-11-23   no    
    51430      2017-6-17    no    
    18363      2016-10-18   no    
    74079      2020-10-6    no    
    52841      2018-11-14   no    
    29264      2017-4-10    no    
