Membership No  Date Joined  Active  
    50820      2016-3-13    no    
    16940      2018-2-11    no    
    51715      2015-4-18    no    
    93062      2020-5-11    no    
    31380      2018-3-17    no    
    27868      2018-11-1    no    
    63777      2020-2-2     no    
    64067      2018-11-17   no    
    61713      2018-7-19    no    
    15918      2018-10-20   no    
    55298      2016-8-23    no    
    31521      2019-1-22    no    
    26232      2019-11-24   no    
    98940      2015-5-25    no    
